Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,27.1,26.2,28.1,26.2 - 28.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,United States,With disability,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,62.9,60.9,64.9,60.9 - 64.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,United States,Without disability,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,27.3,26.5,28.1,26.5 - 28.1
Symptoms of Depressive Disorder,National Estimate,United States,United States,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,22.4,21.7,23.2,21.7 - 23.2
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,38.1,35.1,41.1,35.1 - 41.1
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,26.5,24.7,28.5,24.7 - 28.5
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,24.8,22.8,26.8,22.8 - 26.8
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,19.8,18.2,21.5,18.2 - 21.5
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.2,14.0,16.5,14.0 - 16.5
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,10.1,9.0,11.3,9.0 - 11.3
Symptoms of Depressive Disorder,By Age,United States,80 years and above,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,12.5,8.8,17.1,8.8 - 17.1
Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,21.2,20.0,22.4,20.0 - 22.4
Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,23.6,22.7,24.6,22.7 - 24.6
Symptoms of Depressive Disorder,By Gender identity,United States,Cis-gender male,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,20.6,19.5,21.8,19.5 - 21.8
Symptoms of Depressive Disorder,By Gender identity,United States,Cis-gender female,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,22.9,21.9,23.9,21.9 - 23.9
Symptoms of Depressive Disorder,By Gender identity,United States,Transgender,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,59.8,46.6,72.0,46.6 - 72.0
Symptoms of Depressive Disorder,By Sexual orientation,United States,Gay or lesbian,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,40.1,35.0,45.3,35.0 - 45.3
Symptoms of Depressive Disorder,By Sexual orientation,United States,Straight,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,19.9,19.1,20.8,19.1 - 20.8
Symptoms of Depressive Disorder,By Sexual orientation,United States,Bisexual,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,49.0,44.6,53.3,44.6 - 53.3
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,27.9,25.2,30.7,25.2 - 30.7
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,21.2,20.5,22.0,20.5 - 22.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,21.9,19.3,24.6,19.3 - 24.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.1,14.4,20.1,14.4 - 20.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,29.6,26.3,33.0,26.3 - 33.0
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,26.9,21.8,32.4,21.8 - 32.4
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25.0,23.2,26.9,23.2 - 26.9
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25.2,23.9,26.5,23.9 - 26.5
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.6,15.9,17.3,15.9 - 17.3
Symptoms of Depressive Disorder,By Disability status,United States,With disability,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,51.6,49.1,54.1,49.1 - 54.1
Symptoms of Depressive Disorder,By Disability status,United States,Without disability,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.7,16.9,18.5,16.9 - 18.5
Symptoms of Anxiety Disorder,National Estimate,United States,United States,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,28.1,27.4,28.8,27.4 - 28.8
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,43.6,40.8,46.4,40.8 - 46.4
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,36.0,34.2,37.7,34.2 - 37.7
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,31.9,30.2,33.6,30.2 - 33.6
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25.3,23.3,27.3,23.3 - 27.3
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,18.9,17.7,20.1,17.7 - 20.1
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,12.5,11.0,14.2,11.0 - 14.2
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,13.8,9.8,18.7,9.8 - 18.7
Symptoms of Anxiety Disorder,By Sex,United States,Male,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,24.5,23.4,25.6,23.4 - 25.6
Symptoms of Anxiety Disorder,By Sex,United States,Female,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,31.5,30.6,32.3,30.6 - 32.3
Symptoms of Anxiety Disorder,By Gender identity,United States,Cis-gender male,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,23.9,22.8,25.0,22.8 - 25.0
Symptoms of Anxiety Disorder,By Gender identity,United States,Cis-gender female,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,30.8,29.9,31.8,29.9 - 31.8
Symptoms of Anxiety Disorder,By Gender identity,United States,Transgender,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,61.8,50.3,72.3,50.3 - 72.3
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Gay or lesbian,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,46.2,40.9,51.7,40.9 - 51.7
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Straight,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25.4,24.6,26.3,24.6 - 26.3
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Bisexual,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,58.3,54.6,62.0,54.6 - 62.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,30.5,28.3,32.8,28.3 - 32.8
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,28.1,27.3,29.0,27.3 - 29.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25.6,23.1,28.2,23.1 - 28.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,20.5,17.4,23.9,17.4 - 23.9
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,35.4,31.9,39.1,31.9 - 39.1
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,27.8,23.4,32.6,23.4 - 32.6
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,29.5,27.9,31.2,27.9 - 31.2
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,30.2,29.1,31.2,29.1 - 31.2
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25.0,24.2,25.8,24.2 - 25.8
Symptoms of Anxiety Disorder,By Disability status,United States,With disability,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,56.7,53.9,59.4,53.9 - 59.4
Symptoms of Anxiety Disorder,By Disability status,United States,Without disability,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,23.4,22.7,24.2,22.7 - 24.2
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,32.1,31.3,33.0,31.3 - 33.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,50.0,47.1,52.9,47.1 - 52.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,40.5,38.6,42.4,38.6 - 42.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,35.4,33.6,37.4,33.6 - 37.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,29.1,27.1,31.2,27.1 - 31.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,22.3,21.0,23.6,21.0 - 23.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,15.0,13.4,16.6,13.4 - 16.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.8,12.5,21.8,12.5 - 21.8
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,28.8,27.5,30.1,27.5 - 30.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,35.3,34.3,36.2,34.3 - 36.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Gender identity,United States,Cis-gender male,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,28.1,27.0,29.3,27.0 - 29.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Gender identity,United States,Cis-gender female,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,34.6,33.5,35.6,33.5 - 35.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Gender identity,United States,Transgender,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,71.6,58.8,82.2,58.8 - 82.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,United States,Gay or lesbian,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,51.2,46.4,56.1,46.4 - 56.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,United States,Straight,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,29.4,28.4,30.3,28.4 - 30.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Sexual orientation,United States,Bisexual,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,62.4,58.6,66.1,58.6 - 66.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,35.7,33.1,38.4,33.1 - 38.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,31.6,30.7,32.5,30.7 - 32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,31.1,28.3,33.9,28.3 - 33.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25.0,21.7,28.4,21.7 - 28.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,39.5,36.1,43.0,36.1 - 43.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,33.9,29.0,39.1,29.0 - 39.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,33.9,32.1,35.8,32.1 - 35.8
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,34.6,33.3,35.9,33.3 - 35.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,27.9,27.0,28.8,27.0 - 28.8
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,United States,With disability,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,62.6,59.9,65.2,59.9 - 65.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Disability status,United States,Without disability,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,27.2,26.4,28.0,26.4 - 28.0
Symptoms of Depressive Disorder,National Estimate,United States,United States,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.3,21.6,23.1,21.6 - 23.1
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,36.4,33.2,39.6,33.2 - 39.6
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,26.8,25.3,28.4,25.3 - 28.4
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.3,20.8,23.8,20.8 - 23.8
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.9,20.1,23.8,20.1 - 23.8
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.5,14.4,16.7,14.4 - 16.7
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,10.7,8.9,12.7,8.9 - 12.7
Symptoms of Depressive Disorder,By Age,United States,80 years and above,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,12.2,8.9,16.2,8.9 - 16.2
Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.2,20.0,22.3,20.0 - 22.3
Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.4,22.4,24.4,22.4 - 24.4
Symptoms of Depressive Disorder,By Gender identity,United States,Cis-gender male,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.4,19.2,21.5,19.2 - 21.5
Symptoms of Depressive Disorder,By Gender identity,United States,Cis-gender female,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.1,22.1,24.1,22.1 - 24.1
Symptoms of Depressive Disorder,By Gender identity,United States,Transgender,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,62.8,50.3,74.2,50.3 - 74.2
Symptoms of Depressive Disorder,By Sexual orientation,United States,Gay or lesbian,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,38.9,32.8,45.2,32.8 - 45.2
Symptoms of Depressive Disorder,By Sexual orientation,United States,Straight,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.6,18.9,20.4,18.9 - 20.4
Symptoms of Depressive Disorder,By Sexual orientation,United States,Bisexual,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,48.8,44.1,53.6,44.1 - 53.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,26.8,24.4,29.2,24.4 - 29.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.6,19.7,21.4,19.7 - 21.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,26.4,23.7,29.2,23.7 - 29.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.8,13.4,18.5,13.4 - 18.5
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,32.5,28.5,36.8,28.5 - 36.8
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,32.7,27.7,38.1,27.7 - 38.1
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.7,21.8,25.7,21.8 - 25.7
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.9,24.9,27.0,24.9 - 27.0
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.7,15.0,16.4,15.0 - 16.4
Symptoms of Depressive Disorder,By Disability status,United States,With disability,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,49.7,47.0,52.4,47.0 - 52.4
Symptoms of Depressive Disorder,By Disability status,United States,Without disability,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.7,16.9,18.5,16.9 - 18.5
Symptoms of Anxiety Disorder,National Estimate,United States,United States,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,27.8,27.2,28.5,27.2 - 28.5
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,42.1,39.0,45.2,39.0 - 45.2
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,34.7,33.0,36.6,33.0 - 36.6
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,30.3,28.8,31.9,28.8 - 31.9
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,27.7,26.0,29.6,26.0 - 29.6
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.0,17.7,20.3,17.7 - 20.3
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,12.3,10.6,14.2,10.6 - 14.2
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,12.2,9.9,15.0,9.9 - 15.0
Symptoms of Anxiety Disorder,By Sex,United States,Male,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,24.0,22.9,25.1,22.9 - 25.1
Symptoms of Anxiety Disorder,By Sex,United States,Female,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,31.4,30.4,32.5,30.4 - 32.5
Symptoms of Anxiety Disorder,By Gender identity,United States,Cis-gender male,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.0,22.0,24.1,22.0 - 24.1
Symptoms of Anxiety Disorder,By Gender identity,United States,Cis-gender female,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,30.9,29.9,32.0,29.9 - 32.0
Symptoms of Anxiety Disorder,By Gender identity,United States,Transgender,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,73.2,61.6,82.8,61.6 - 82.8
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Gay or lesbian,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,45.0,39.9,50.1,39.9 - 50.1
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Straight,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.0,24.3,25.7,24.3 - 25.7
Symptoms of Anxiety Disorder,By Sexual orientation,United States,Bisexual,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,59.0,54.7,63.2,54.7 - 63.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,32.1,29.8,34.5,29.8 - 34.5
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,26.6,25.8,27.4,25.8 - 27.4
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,29.1,26.5,31.8,26.5 - 31.8
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.2,17.4,23.3,17.4 - 23.3
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,39.2,35.8,42.6,35.8 - 42.6
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,35.8,31.2,40.6,31.2 - 40.6
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,27.1,25.2,29.0,25.2 - 29.0
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,31.5,30.3,32.7,30.3 - 32.7
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.5,22.7,24.3,22.7 - 24.3
Symptoms of Anxiety Disorder,By Disability status,United States,With disability,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,56.0,53.2,58.7,53.2 - 58.7
Symptoms of Anxiety Disorder,By Disability status,United States,Without disability,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.0,22.3,23.7,22.3 - 23.7
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,32.2,31.4,32.9,31.4 - 32.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,49.1,45.8,52.5,45.8 - 52.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,38.8,37.1,40.5,37.1 - 40.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,34.2,32.7,35.7,32.7 - 35.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,31.7,29.8,33.6,29.8 - 33.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.2,21.9,24.5,21.9 - 24.5
